Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  466,459,	  440,282,	-55.5,115.1,98.4,	   0.099557683,0
1,	  466,459,	  440,282,	-55.6,115.1,98.4,	   0.085324273,50
2,	  465,459,	  440,282,	-55.6,114.8,98.4,	   0.108289875,105.4092553
3,	  465,459,	  440,282,	-55.5,114.4,98.5,	   0.111244708,176.7766953
4,	  464,459,	  440,282,	-55.3,114.1,98.5,	   0.110990696,204.9390153
5,	  463,459,	  441,282,	-55.0,113.6,98.5,	   0.130624697,264.0496586
6,	  462,459,	  441,282,	-54.9,113.3,98.5,	   0.058592521,271.4285714
7,	  462,459,	  442,282,	-54.6,113,98.5,	   0.124157712,285.8649157
8,	  462,459,	  442,282,	-54.4,112.9,98.5,	   0.145078674,273.5229694
9,	  462,459,	  443,282,	-54.3,112.9,98.5,	   0.114563040,250.7987241
10,	  462,459,	  443,282,	-54.3,113,98.5,	   0.088534914,220.0676079
11,	  463,459,	  443,282,	-54.3,113.3,98.5,	   0.098031573,180.4700652
12,	  464,459,	  443,282,	-54.5,113.7,98.5,	   0.082180217,132.5668303
13,	  465,459,	  443,282,	-54.6,114.1,98.5,	   0.079211093,96.36241117
14,	  465,459,	  442,282,	-54.9,114.4,98.5,	   0.167946354,61.8241233
15,	  466,459,	  441,282,	-55.2,114.9,98.5,	   0.103931285,23.38535867
16,	  466,459,	  441,282,	-55.3,115,98.4,	   0.091000110,13.15334104
17,	  466,459,	  440,282,	-55.5,115.1,98.4,	   0.116354279,0
18,	  466,459,	  440,282,	-55.6,115.1,98.4,	   0.085324273,5.263157895
19,	  465,459,	  440,283,	-55.5,114.7,98.4,	   0.022220442,20
20,	  465,459,	  440,282,	-55.5,114.4,98.5,	   0.128021210,33.67175149
21,	  464,459,	  440,282,	-55.3,114.1,98.5,	   0.110990696,46.57704894
22,	  463,459,	  441,282,	-55.0,113.6,98.5,	   0.130624697,68.88251964
23,	  462,459,	  441,282,	-54.9,113.3,98.5,	   0.058592521,79.16666667
24,	  462,459,	  442,282,	-54.6,113,98.5,	   0.148930311,91.47677301
25,	  462,459,	  442,282,	-54.4,112.9,98.5,	   0.145078674,94.68102789
26,	  462,459,	  442,282,	-54.5,112.9,98.5,	   0.119892217,89.58064165
27,	  462,459,	  443,282,	-54.3,113,98.5,	   0.138060033,86.45513169
28,	  463,459,	  443,282,	-54.3,113.3,98.5,	   0.105012499,74.67726837
29,	  464,459,	  443,282,	-54.3,113.6,98.5,	   0.077703439,64.11794687
30,	  465,459,	  443,282,	-54.5,114,98.5,	   0.076013982,48.06343363
31,	  465,459,	  442,282,	-54.8,114.4,98.5,	   0.083489195,31.09335741
32,	  466,459,	  441,282,	-55.1,114.7,98.5,	   0.105197854,17.4077656
33,	  466,459,	  441,282,	-55.3,115,98.4,	   0.074211031,6.576670522
34,	  466,459,	  440,282,	-55.5,115.1,98.4,	   0.114212036,0
35,	  466,459,	  440,282,	-55.6,115.1,98.4,	   0.085324273,2.777777778
36,	  465,459,	  440,282,	-55.5,114.8,98.4,	   0.087870434,8.108108108
37,	  465,459,	  440,282,	-55.5,114.5,98.5,	   0.127600864,16.00726982
38,	  464,459,	  440,282,	-55.4,114.2,98.5,	   0.093381301,23.3600861
39,	  463,459,	  441,282,	-55.0,113.6,98.5,	   0.131693482,39.60744879
40,	  463,459,	  441,282,	-54.9,113.4,98.5,	   0.057738829,44.03773192
41,	  462,459,	  442,282,	-54.6,113,98.5,	   0.149998635,54.45046012
42,	  462,459,	  442,282,	-54.4,112.9,98.5,	   0.145078674,57.24899361
43,	  462,459,	  442,282,	-54.4,112.9,98.5,	   0.145078674,55.94788011
44,	  462,459,	  443,282,	-54.3,113,98.5,	   0.138060033,53.79430416
45,	  463,459,	  443,282,	-54.3,113.3,98.5,	   0.105012499,47.07914745
46,	  464,459,	  443,282,	-54.3,113.5,98.5,	   0.078127727,42.60634978
47,	  464,459,	  443,282,	-54.5,113.9,98.5,	   0.110345580,32.60932467
48,	  465,459,	  442,282,	-54.8,114.4,98.5,	   0.166218206,20.30586606
49,	  466,459,	  442,282,	-55.0,114.7,98.5,	   0.119186379,12.9614814
50,	  466,459,	  441,282,	-55.3,115,98.4,	   0.092069127,4.384447015
51,	  466,459,	  440,282,	-55.5,115.1,98.4,	   0.114212036,0
52,	  466,459,	  440,282,	-55.6,115.1,98.4,	   0.085324273,1.886792453
53,	  465,459,	  440,282,	-55.5,114.7,98.4,	   0.088718697,7.407407407
54,	  465,459,	  440,282,	-55.5,114.5,98.5,	   0.127600864,11.05956824
55,	  464,459,	  440,282,	-55.4,114.2,98.5,	   0.110146821,16.26863139
56,	  463,459,	  441,282,	-55.0,113.6,98.5,	   0.130624697,27.79470091
